"No.","Time","Source","Destination","Protocol","Length","Info"
"168","13.681950397","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:30960, 2.05 Content, TKN:10 50, /datafile/100B"
"169","13.684610285","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:49000, GET, TKN:27 98, /datafile/100B"
"170","13.686706140","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:49000, 2.05 Content, TKN:27 98, /datafile/100B"
"171","13.688924363","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:21009, GET, TKN:44 c5, /datafile/100B"
"172","13.691050439","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:21009, 2.05 Content, TKN:44 c5, /datafile/100B"
"173","13.692909674","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:28162, GET, TKN:a3 de, /datafile/100B"
"174","13.694958955","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:28162, 2.05 Content, TKN:a3 de, /datafile/100B"
"175","13.696547444","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:18998, GET, TKN:fd 93, /datafile/100B"
"176","13.698712099","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:18998, 2.05 Content, TKN:fd 93, /datafile/100B"
"177","13.701371309","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:21390, GET, TKN:12 7c, /datafile/100B"
"178","13.703487222","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:21390, 2.05 Content, TKN:12 7c, /datafile/100B"
"179","13.705219563","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:7223, GET, TKN:92 ed, /datafile/100B"
"180","13.707269629","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:7223, 2.05 Content, TKN:92 ed, /datafile/100B"
"181","13.708867130","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:52169, GET, TKN:25 ff, /datafile/100B"
"182","13.710856939","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:52169, 2.05 Content, TKN:25 ff, /datafile/100B"
"183","13.712764953","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:20849, GET, TKN:d1 98, /datafile/100B"
"184","13.714880140","192.168.10.2","192.168.10.31","CoAP","149","ACK, MID:20849, 2.05 Content, TKN:d1 98, /datafile/100B"
"185","13.716951748","192.168.10.31","192.168.10.2","CoAP","62","CON, MID:45003, GET, TKN:90 54, /datafile/100B"
